ipaddress,description,channel,pos_x,pos_y,width,height,icon_width,icon_height,latitude,longitude
192.168.10.51,Light Controller-1,left,1475,720,35,35,35,35,29.389051,73.874323
192.168.10.51,Light Controller-1,right,1475,755,35,35,35,35,29.386193,73.873615
192.168.10.52,Light Controller-2,left,1475,850,35,35,35,35,29.383223,73.87429
192.168.10.52,Light Controller-2,right,1430,830,35,35,35,35,29.384849,73.871641
192.168.10.53,Light Controller-3,left,1220,805,35,35,35,35,29.385225,73.861329
192.168.10.53,Light Controller-3,right,1185,805,35,35,35,35,29.385585,73.858681
192.168.10.54,Light Controller-4,left,980,840,35,35,35,35,29.383688,73.849225
192.168.10.54,Light Controller-4,right,945,840,35,35,35,35,29.384164,73.845119
192.168.10.55,Light Controller-5,left,815,785,35,35,35,35,29.381513,73.841215
192.168.10.55,Light Controller-5,right,775,785,35,35,35,35,29.385302,73.841429
192.168.10.56,Light Controller-6,left,630,805,35,35,35,35,29.385212,73.831472
192.168.10.56,Light Controller-6,right,590,805,35,35,35,35,29.385662,73.827696
192.168.10.57,Light Controller-7,left,436,800,25,25,25,25,29.385609,73.821559
192.168.10.57,Light Controller-7,right,436,775,25,25,25,25,29.387815,73.821301
192.168.10.58,Light Controller-8,left,500,650,35,35,35,35,29.391475,73.824838
192.168.10.58,Light Controller-8,right,500,615,35,35,35,35,29.395252,73.826022
192.168.10.59,Light Controller-9,left,500,525,35,35,35,35,29.397235,73.825035
192.168.10.59,Light Controller-9,right,535,525,35,35,35,35,29.397346,73.829927
192.168.10.60,Light Controller-10,left,725,525,35,35,35,35,29.39726,73.83688
192.168.10.60,Light Controller-10,right,760,525,35,35,35,35,29.39943,73.844776
192.168.10.61,Light Controller-11,left,1000,465,35,35,35,35,29.400198,73.851471
192.168.10.61,Light Controller-11,right,1035,465,35,35,35,35,29.405984,73.852029
192.168.10.62,Light Controller-12,left,1030,250,35,35,35,35,29.410815,73.851557
192.168.10.62,Light Controller-12,right,1030,215,35,35,35,35,29.41089,73.855162
192.168.10.63,Light Controller-13,left,1175,215,35,35,35,35,29.41089,73.859067
192.168.10.63,Light Controller-13,right,1210,215,35,35,35,35,29.410584,73.865333
192.168.10.64,Light Controller-14,left,1430,185,35,35,35,35,29.412759,73.872242
192.168.10.64,Light Controller-14,right,1465,185,35,35,35,35,29.413657,73.873873
192.168.10.65,Light Controller-15,left,1465,250,35,35,35,35,29.41002,73.873444
192.168.10.65,Light Controller-15,right,1465,285,35,35,35,35,29.405881,73.873615
192.168.10.66,Light Controller-16,left,1465,480,35,35,35,35,29.398895,73.873186
192.168.10.66,Light Controller-16,right,1465,515,35,35,35,35,29.39287,73.873529
