seq_num,zone,sensitivity,hub_id,hub_channel,sensor_id,camera_ip,camera_description,camera_preset,smart_patrol,latitude,longitude,logicalzone,fire_trigger,light_cntrl_ip,light_channel,light_cntrl_description
1,1,Level-3,HUB- 1,Right,1,172.16.1.103,Cam-103,1,Enabled,34.060124,74.885933,14 EME,50,192.168.1.254,Right,Controller
2,1,Level-3,HUB- 1,Right,2,172.16.1.103,Cam-103,1,Enabled,34.060107,74.885929,14 EME,50,192.168.1.254,Right,Controller
3,1,Level-3,HUB- 1,Right,3,172.16.1.103,Cam-103,1,Enabled,34.060083,74.885929,14 EME,50,192.168.1.254,Right,Controller
4,1,Level-3,HUB- 1,Right,4,172.16.1.103,Cam-103,1,Enabled,34.060061,74.885929,14 EME,50,192.168.1.254,Right,Controller
5,1,Level-3,HUB- 1,Right,5,172.16.1.103,Cam-103,1,Enabled,34.060039,74.885928,14 EME,50,192.168.1.254,Right,Controller
6,1,Level-3,HUB- 1,Right,6,172.16.1.103,Cam-103,2,Enabled,34.060016,74.885927,14 EME,50,192.168.1.254,Right,Controller
7,1,Level-3,HUB- 1,Right,7,172.16.1.103,Cam-103,2,Enabled,34.059993,74.885925,14 EME,50,192.168.1.254,Right,Controller
8,1,Level-3,HUB- 1,Right,8,172.16.1.103,Cam-103,2,Enabled,34.059968,74.885924,14 EME,50,192.168.1.254,Right,Controller
9,1,Level-3,HUB- 1,Right,9,172.16.1.103,Cam-103,2,Enabled,34.059946,74.885923,14 EME,50,192.168.1.254,Right,Controller
10,1,Level-3,HUB- 1,Right,10,172.16.1.103,Cam-103,3,Enabled,34.059923,74.885923,14 EME,50,192.168.1.254,Right,Controller
11,1,Level-3,HUB- 1,Right,11,172.16.1.103,Cam-103,3,Enabled,34.0599,74.885923,14 EME,50,192.168.1.254,Right,Controller
12,1,Level-3,HUB- 1,Right,12,172.16.1.103,Cam-103,3,Enabled,34.059883,74.885921,14 EME,50,192.168.1.254,Right,Controller
13,1,Level-3,HUB- 1,Right,13,172.16.1.103,Cam-103,3,Enabled,34.059867,74.885896,14 EME,50,192.168.1.254,Right,Controller
14,1,Level-3,HUB- 1,Right,14,172.16.1.103,Cam-103,3,Enabled,34.059846,74.88587,14 EME,50,192.168.1.254,Right,Controller
15,1,Level-3,HUB- 1,Right,15,172.16.1.103,Cam-103,3,Enabled,34.059828,74.885845,14 EME,50,192.168.1.254,Right,Controller
16,1,Level-3,HUB- 1,Right,16,172.16.1.103,Cam-103,3,Enabled,34.059812,74.885821,14 EME,50,192.168.1.254,Right,Controller
17,1,Level-3,HUB- 1,Right,17,172.16.1.103,Cam-103,3,Enabled,34.059794,74.885795,14 EME,50,192.168.1.254,Right,Controller
18,1,Level-3,HUB- 1,Right,18,172.16.1.103,Cam-103,3,Enabled,34.05978,74.885778,14 EME,50,192.168.1.254,Right,Controller
19,1,Level-3,HUB- 1,Right,19,172.16.1.103,Cam-103,3,Enabled,34.059764,74.88576,14 EME,50,192.168.1.254,Right,Controller
20,1,Level-3,HUB- 1,Right,20,172.16.1.103,Cam-103,3,Enabled,34.059748,74.88574,14 EME,50,192.168.1.254,Right,Controller
21,1,Level-3,HUB- 1,Right,21,172.16.1.103,Cam-103,3,Enabled,34.059731,74.885723,14 EME,50,192.168.1.254,Right,Controller
22,1,Level-3,HUB- 1,Right,22,172.16.1.103,Cam-103,3,Enabled,34.059708,74.885699,14 EME,50,192.168.1.254,Right,Controller
23,1,Level-3,HUB- 1,Right,23,172.16.1.103,Cam-103,3,Enabled,34.059685,74.885669,14 EME,50,192.168.1.254,Right,Controller
24,1,Level-3,HUB- 1,Right,24,172.16.1.103,Cam-103,3,Enabled,34.059655,74.88565,14 EME,50,192.168.1.254,Right,Controller
25,1,Level-3,HUB- 1,Right,25,172.16.1.103,Cam-103,3,Enabled,34.05963,74.885637,14 EME,50,192.168.1.254,Right,Controller
26,2,Level-3,HUB- 1,Right,26,172.16.1.103,Cam-103,4,Enabled,34.059574,74.885619,14 EME,50,192.168.1.254,Right,Controller
27,2,Level-3,HUB- 1,Right,27,172.16.1.103,Cam-103,4,Enabled,34.059547,74.885602,14 EME,50,192.168.1.254,Right,Controller
28,2,Level-3,HUB- 1,Right,28,172.16.1.103,Cam-103,4,Enabled,34.059519,74.885579,14 EME,50,192.168.1.254,Right,Controller
29,2,Level-3,HUB- 1,Right,29,172.16.1.103,Cam-103,4,Enabled,34.059491,74.88556,14 EME,50,192.168.1.254,Right,Controller
30,2,Level-3,HUB- 1,Right,30,172.16.1.103,Cam-103,4,Enabled,34.059464,74.88554,14 EME,50,192.168.1.254,Right,Controller
31,2,Level-3,HUB- 1,Right,31,172.16.1.103,Cam-103,4,Enabled,34.059441,74.885527,14 EME,50,192.168.1.254,Right,Controller
32,2,Level-3,HUB- 1,Right,32,172.16.1.103,Cam-103,4,Enabled,34.059416,74.885512,14 EME,50,192.168.1.254,Right,Controller
33,2,Level-3,HUB- 1,Right,33,172.16.1.103,Cam-103,4,Enabled,34.059391,74.885509,14 EME,50,192.168.1.254,Right,Controller
34,2,Level-3,HUB- 1,Right,34,172.16.1.103,Cam-103,4,Enabled,34.059372,74.885511,14 EME,50,192.168.1.254,Right,Controller
35,2,Level-3,HUB- 1,Right,35,172.16.1.103,Cam-103,4,Enabled,34.059349,74.885522,14 EME,50,192.168.1.254,Right,Controller
36,2,Level-3,HUB- 1,Right,36,172.16.1.103,Cam-103,4,Enabled,34.059326,74.885528,14 EME,50,192.168.1.254,Right,Controller
37,2,Level-3,HUB- 1,Right,37,172.16.1.103,Cam-103,4,Enabled,34.059306,74.885539,14 EME,50,192.168.1.254,Right,Controller
38,2,Level-3,HUB- 1,Right,38,172.16.1.103,Cam-103,4,Enabled,34.059291,74.885556,14 EME,50,192.168.1.254,Right,Controller
39,2,Level-3,HUB- 1,Right,39,172.16.1.103,Cam-103,4,Enabled,34.059276,74.885571,14 EME,50,192.168.1.254,Right,Controller
40,2,Level-3,HUB- 1,Right,40,172.16.1.103,Cam-103,4,Enabled,34.059257,74.885577,14 EME,50,192.168.1.254,Right,Controller
41,2,Level-3,HUB- 1,Right,41,172.16.1.103,Cam-103,4,Enabled,34.05924,74.885571,14 EME,50,192.168.1.254,Right,Controller
42,2,Level-3,HUB- 1,Right,42,172.16.1.103,Cam-103,4,Enabled,34.059222,74.885562,14 EME,50,192.168.1.254,Right,Controller
43,2,Level-3,HUB- 1,Right,43,172.16.1.103,Cam-103,4,Enabled,34.059205,74.885543,14 EME,50,192.168.1.254,Right,Controller
